1. Feature (C): (2198.000000)
2. Feature (G): (2195.000000)
3. Feature (A): (2138.000000)
4. Feature (T): (1832.000000)
5. Feature (kurtosis): (1724.000000)
6. Feature (k-tsallis1): (1670.000000)
7. Feature (k-tsallis2): (1523.000000)
8. Feature (minimum): (1519.000000)
9. Feature (percentile25): (1401.000000)
10. Feature (skewness): (1388.000000)
11. Feature (percentile15): (1362.000000)
12. Feature (interquartile_range): (1325.000000)
13. Feature (coefficient_of_variation): (1249.000000)
14. Feature (average): (1198.000000)
15. Feature (k-tsallis5): (1173.000000)
16. Feature (k-tsallis4): (1141.000000)
17. Feature (k-tsallis3): (1108.000000)
18. Feature (median): (963.000000)
19. Feature (none_levated_peak): (923.000000)
20. Feature (percentile75): (852.000000)
21. Feature (maximum): (596.000000)
22. Feature (peak): (520.000000)
23. Feature (sample_standard_deviation): (492.000000)
24. Feature (minimum_ORF_length): (452.000000)
25. Feature (maximum_GC_content_ORF): (406.000000)
26. Feature (average_GC_content_ORF): (383.000000)
27. Feature (maximum_ORF_length): (381.000000)
28. Feature (cv_GC_content_ORF): (371.000000)
29. Feature (minimum_GC_content_ORF): (353.000000)
30. Feature (average_ORF_length): (309.000000)
