1. Feature (maximum_ORF_length): (723.000000)
2. Feature (std_ORF_length): (641.000000)
3. Feature (cv_ORF_length): (578.000000)
4. Feature (CAC): (571.000000)
5. Feature (TAC): (512.000000)
6. Feature (AAA): (499.000000)
7. Feature (ATG): (478.000000)
8. Feature (CAT): (469.000000)
9. Feature (CTC): (469.000000)
10. Feature (CGA): (463.000000)
11. Feature (GAC): (458.000000)
12. Feature (CAG): (448.000000)
13. Feature (ACA): (447.000000)
14. Feature (GTC): (446.000000)
15. Feature (GCG): (437.000000)
16. Feature (AGG): (425.000000)
17. Feature (TGT): (415.000000)
18. Feature (maximum_GC_content_ORF): (414.000000)
19. Feature (TCC): (406.000000)
20. Feature (TCA): (406.000000)
21. Feature (GCA): (404.000000)
22. Feature (ACC): (400.000000)
23. Feature (CCC): (396.000000)
24. Feature (ACT): (394.000000)
25. Feature (GTG): (389.000000)
26. Feature (GAG): (388.000000)
27. Feature (CTA): (381.000000)
28. Feature (CGT): (373.000000)
29. Feature (AGC): (368.000000)
30. Feature (ATC): (366.000000)
31. Feature (TAA): (365.000000)
32. Feature (TGG): (363.000000)
33. Feature (GGG): (357.000000)
34. Feature (ACG): (351.000000)
