A_AAA,A_AAC,A_AAG,A_AAT,A_ACA,A_ACC,A_ACG,A_ACT,A_AGA,A_AGC,A_AGG,A_AGT,A_ATA,A_ATC,A_ATG,A_ATT,A_CAA,A_CAC,A_CAG,A_CAT,A_CCA,A_CCC,A_CCG,A_CCT,A_CGA,A_CGC,A_CGG,A_CGT,A_CTA,A_CTC,A_CTG,A_CTT,A_GAA,A_GAC,A_GAG,A_GAT,A_GCA,A_GCC,A_GCG,A_GCT,A_GGA,A_GGC,A_GGG,A_GGT,A_GTA,A_GTC,A_GTG,A_GTT,A_TAA,A_TAC,A_TAG,A_TAT,A_TCA,A_TCC,A_TCG,A_TCT,A_TGA,A_TGC,A_TGG,A_TGT,A_TTA,A_TTC,A_TTG,A_TTT,C_AAA,C_AAC,C_AAG,C_AAT,C_ACA,C_ACC,C_ACG,C_ACT,C_AGA,C_AGC,C_AGG,C_AGT,C_ATA,C_ATC,C_ATG,C_ATT,C_CAA,C_CAC,C_CAG,C_CAT,C_CCA,C_CCC,C_CCG,C_CCT,C_CGA,C_CGC,C_CGG,C_CGT,C_CTA,C_CTC,C_CTG,C_CTT,C_GAA,C_GAC,C_GAG,C_GAT,C_GCA,C_GCC,C_GCG,C_GCT,C_GGA,C_GGC,C_GGG,C_GGT,C_GTA,C_GTC,C_GTG,C_GTT,C_TAA,C_TAC,C_TAG,C_TAT,C_TCA,C_TCC,C_TCG,C_TCT,C_TGA,C_TGC,C_TGG,C_TGT,C_TTA,C_TTC,C_TTG,C_TTT,G_AAA,G_AAC,G_AAG,G_AAT,G_ACA,G_ACC,G_ACG,G_ACT,G_AGA,G_AGC,G_AGG,G_AGT,G_ATA,G_ATC,G_ATG,G_ATT,G_CAA,G_CAC,G_CAG,G_CAT,G_CCA,G_CCC,G_CCG,G_CCT,G_CGA,G_CGC,G_CGG,G_CGT,G_CTA,G_CTC,G_CTG,G_CTT,G_GAA,G_GAC,G_GAG,G_GAT,G_GCA,G_GCC,G_GCG,G_GCT,G_GGA,G_GGC,G_GGG,G_GGT,G_GTA,G_GTC,G_GTG,G_GTT,G_TAA,G_TAC,G_TAG,G_TAT,G_TCA,G_TCC,G_TCG,G_TCT,G_TGA,G_TGC,G_TGG,G_TGT,G_TTA,G_TTC,G_TTG,G_TTT,T_AAA,T_AAC,T_AAG,T_AAT,T_ACA,T_ACC,T_ACG,T_ACT,T_AGA,T_AGC,T_AGG,T_AGT,T_ATA,T_ATC,T_ATG,T_ATT,T_CAA,T_CAC,T_CAG,T_CAT,T_CCA,T_CCC,T_CCG,T_CCT,T_CGA,T_CGC,T_CGG,T_CGT,T_CTA,T_CTC,T_CTG,T_CTT,T_GAA,T_GAC,T_GAG,T_GAT,T_GCA,T_GCC,T_GCG,T_GCT,T_GGA,T_GGC,T_GGG,T_GGT,T_GTA,T_GTC,T_GTG,T_GTT,T_TAA,T_TAC,T_TAG,T_TAT,T_TCA,T_TCC,T_TCG,T_TCT,T_TGA,T_TGC,T_TGG,T_TGT,T_TTA,T_TTC,T_TTG,T_TTT,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,k-tsallis1,k-tsallis2,k-tsallis3,k-tsallis4,k-tsallis5
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,1,1,2,2,1,2,1,0,0,1,0,0,0,0,0,2,1,0,1,0,2,0,0,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,0,1,0,0,2,1,0,2,0,1,2,0,1,0,0,2,0,2,0,0,1,1,0,0,1,1,3,1,1,1,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,115.99999999999993,80.0,3704.0,16.0,0.33333333333333354,2.2797208779108686,337.78987551434983,339.2553482324897,39.71171105809919,46.68849659188041,80.0,107.70909443572201,3688.0,115094.19130434786,61.02059784384159,30.510298921920796,2.9119816854685356,0.31972539092697505,0.25665563143341463,0.6232249301606867,0.7397873076066745,0.7619111441280284,0.7659568942010268,0.7669971819044441
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,1,1,2,1,0,2,2,0,0,1,0,0,0,0,0,2,1,0,1,1,1,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,1,3,0,0,0,0,0,0,2,0,0,2,0,0,2,0,1,1,0,1,0,0,2,0,2,0,0,1,1,0,0,1,1,3,1,1,1,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,116.0,82.0,3646.0,6.0,0.33333333333333337,2.269678325220004,332.23184675765214,333.67320643955236,39.637523993854415,48.6510187107904,82.0,118.69202461874634,3640.0,111337.80869565217,70.04100590795593,35.020502953977974,2.8640676444625184,0.3070145171073991,0.3171576573272281,0.6264387467269528,0.7418195483796514,0.7623719921493745,0.7663376329316524,0.7672148969070954
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,1,1,2,2,1,2,1,0,0,1,0,0,0,0,0,2,1,0,1,1,1,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,1,3,0,0,0,0,0,0,2,0,0,2,0,0,2,0,1,1,0,1,0,0,2,0,2,0,0,1,1,0,0,1,1,3,1,1,1,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,115.99999999999996,80.58815453532131,3614.0,20.125670117381297,0.33333333333333337,2.252753280921196,329.4237392781522,330.8529162239817,38.35251696766291,45.629902882058666,80.58815453532131,108.32019854514256,3593.874329882619,109463.65217391304,62.690295663083866,31.345147831541933,2.839859821363382,0.3224890125612197,0.28740785154674664,0.6282841321920248,0.7418098152771443,0.762076971432042,0.7661561943760079,0.7670842679055047
3,4,8,5,8,7,6,8,6,4,7,4,1,3,8,3,4,4,9,4,3,3,4,8,3,9,11,6,5,8,10,7,12,6,7,4,6,6,13,3,5,10,11,8,4,11,11,7,3,9,4,1,5,8,9,2,8,7,12,3,2,2,3,4,3,5,6,2,3,5,7,5,4,10,5,6,0,2,7,0,10,7,5,5,2,2,5,6,3,6,6,6,2,1,5,6,5,5,5,8,11,10,5,4,13,9,11,9,5,4,8,3,7,5,6,1,6,3,7,2,8,7,13,4,6,6,6,2,9,16,11,10,3,6,6,4,10,11,17,11,6,4,7,6,2,4,8,4,6,5,7,9,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,6,0,8,4,1,3,8,8,10,9,7,3,10,3,7,5,12,5,5,8,9,4,10,3,2,5,6,5,6,3,7,5,5,4,7,6,6,5,3,1,11,4,2,1,5,3,6,7,10,5,4,3,6,11,9,3,12,4,8,5,5,3,2,1,1,1,2,1,4,1,7,5,3,3,1,1,6,1,1542.0000000000025,979.4247351324217,610874.0,56.76778440028942,0.3333333333333328,8.486540533820403,15538.42746226271,15543.468314775615,488.05316059633276,627.5643387840857,979.4247351324217,1483.590847027166,610817.2322155997,241599407.25243348,856.0265082430801,428.01325412154006,10.076801207693052,0.10861625468224664,0.25501000989813377,0.6370664667314543,0.7463149700260575,0.7651509038766603,0.7684085832296409,0.7690130456545087
3,4,8,5,8,7,6,8,6,4,7,4,1,3,7,3,5,4,8,4,3,3,4,9,3,9,12,6,3,8,10,7,12,6,7,4,6,6,13,3,5,11,11,8,4,11,10,7,3,9,3,1,5,8,9,2,8,7,12,3,2,2,3,4,3,5,7,2,3,5,7,5,4,10,5,5,0,2,7,0,10,7,5,5,3,2,5,5,3,6,7,6,2,2,5,6,5,5,5,8,11,10,5,4,13,9,11,9,5,4,8,3,7,5,5,1,5,3,8,2,8,7,13,5,6,5,6,2,9,16,11,10,3,6,6,4,10,11,16,11,6,4,8,6,2,4,8,4,6,6,7,8,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,5,0,8,4,1,3,8,8,11,9,7,3,11,3,7,5,12,5,5,8,9,4,9,3,2,5,6,5,6,3,7,5,5,4,7,6,6,5,3,1,10,4,2,1,5,3,6,7,10,5,4,3,6,11,10,2,12,4,7,5,6,4,2,1,1,1,2,1,4,1,7,5,3,3,1,1,7,1,1541.9999999999982,995.5408201995116,610998.0,63.902910226597264,0.3333333333333337,8.490175008322987,15541.575402770466,15546.617276513083,485.84532794361013,633.5338288096087,995.5408201995116,1498.7050334384523,610934.0970897734,241697308.74237508,865.1712046288437,432.58560231442186,10.078842673651417,0.10548335653985387,0.26021105682862816,0.6370242531991521,0.746258827367717,0.7651285001767963,0.7684097604558104,0.7690148198425142
3,3,8,6,7,7,6,7,6,3,7,4,1,3,7,3,5,4,8,4,3,3,4,8,3,9,12,5,3,8,10,8,12,6,7,4,7,6,13,4,5,11,11,8,4,11,10,7,3,9,3,1,5,8,9,2,8,6,12,4,2,2,3,4,3,5,7,2,3,5,7,5,4,10,5,5,0,2,7,0,10,7,5,5,3,2,5,5,3,6,6,6,2,1,5,6,5,5,5,8,11,10,5,5,13,9,11,9,5,4,8,2,7,5,5,1,5,3,8,2,8,7,13,5,6,6,6,2,7,14,13,10,3,6,6,4,10,14,16,11,6,4,8,6,2,4,8,4,6,5,7,9,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,5,0,8,4,1,3,8,10,11,8,7,3,11,3,7,5,12,5,5,8,8,4,9,3,2,5,6,5,7,3,7,5,5,4,7,6,6,5,3,1,11,4,2,1,5,4,6,7,10,5,4,3,6,11,10,2,12,4,7,5,6,4,2,1,1,1,2,1,4,1,7,5,3,3,1,1,7,0,1542.0000000000018,999.8420396722757,611322.0,82.83420739640077,0.3333333333333329,8.490694352954488,15549.881993121362,15554.926561621667,468.21819881239935,625.9314319648888,999.8420396722757,1509.0728899376386,611239.1657926036,241955740.33744323,883.1414579727499,441.57072898637495,10.08422956752357,0.10459718483411418,0.2662401566591719,0.6369148545969862,0.7462436429149054,0.7651089569728768,0.7683997493384501,0.7690114644671494
3,4,9,5,7,7,6,8,6,3,7,4,1,3,7,3,4,4,7,4,3,3,4,8,3,9,12,6,5,8,10,7,13,6,7,4,6,6,13,4,5,10,11,8,4,11,11,7,3,9,4,1,5,8,9,2,8,7,12,3,2,2,3,4,3,5,6,2,3,5,7,5,4,10,5,6,0,2,7,0,10,7,5,5,2,2,5,6,3,6,6,6,2,1,4,6,5,5,5,8,11,10,5,3,13,9,11,9,5,4,8,2,7,5,6,1,5,3,8,3,8,7,13,4,6,6,7,2,8,15,12,10,3,6,6,4,11,12,17,11,6,4,8,6,2,4,8,4,6,5,7,8,8,8,8,8,3,7,10,6,16,5,12,7,8,7,6,6,15,8,15,12,10,3,8,7,15,6,6,0,8,4,1,3,8,8,10,8,7,3,10,3,7,5,12,5,5,8,9,4,9,3,2,5,6,5,6,3,7,5,5,4,7,6,6,6,3,0,11,4,2,1,5,5,6,7,10,5,4,3,6,11,10,3,12,4,8,5,5,3,2,1,1,1,2,1,3,1,7,6,3,3,1,1,6,1,1541.9999999999975,999.150725766337,610646.0,87.34183559550837,0.3333333333333339,8.487199579171653,15532.724680493118,15537.763682955116,479.3965845813035,621.0973656154878,999.150725766337,1484.0725034722986,610558.6581644043,241422100.26735887,862.9751378568111,431.48756892840555,10.073102905637578,0.10484624276809623,0.2629936518046613,0.6371368402948877,0.7463351985622098,0.7651413149189554,0.7684047374436238,0.7690127034801983
3,4,9,5,7,7,6,8,6,3,7,4,1,3,7,3,4,4,7,4,3,3,4,8,3,9,12,6,5,8,10,7,13,6,7,4,6,6,13,4,5,10,11,8,4,11,11,7,3,9,4,1,5,8,9,2,8,7,12,3,2,2,3,4,3,5,6,2,3,5,7,5,4,10,5,6,0,2,7,0,10,7,5,5,2,2,5,6,3,6,6,6,2,1,4,6,5,5,5,8,11,10,5,3,13,9,11,9,5,4,8,2,7,5,6,1,5,3,8,3,8,7,13,4,6,6,7,2,8,15,12,10,3,6,6,4,11,12,17,11,6,4,8,6,2,4,8,4,6,5,7,9,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,6,0,8,4,1,3,8,8,10,8,7,3,10,3,7,5,12,5,5,8,9,4,9,3,2,5,6,5,6,3,7,5,5,4,7,6,6,5,3,0,11,4,2,1,5,5,6,7,10,5,4,3,6,11,10,3,12,4,8,5,5,3,2,1,1,1,2,1,3,1,7,6,3,3,1,1,6,1,1542.0000000000007,991.4373421743953,610990.0,87.59024290186012,0.3333333333333332,8.485366063789836,15541.43198035496,15546.473807569626,485.56317467401277,627.8286697488849,991.4373421743953,1502.9595355795734,610902.4097570982,241692847.84944838,875.1308658306883,437.56543291534416,10.078749663005807,0.10627643421562573,0.2648913838949969,0.637025990745104,0.7462877965880099,0.7651296680788771,0.7684012769690928,0.7690115721301429
3,5,9,4,7,7,6,8,7,3,7,4,1,3,7,3,4,4,7,4,3,3,3,7,3,9,12,5,5,8,11,9,13,6,6,4,6,6,13,4,5,10,11,8,4,11,10,6,3,9,4,1,5,8,9,2,8,7,13,3,2,2,3,4,3,5,6,2,4,5,6,5,5,10,5,6,0,2,7,0,10,7,6,5,2,2,5,6,3,6,5,6,2,1,4,6,5,5,5,8,11,10,5,3,13,9,11,9,5,4,8,2,7,5,6,1,5,3,8,3,7,7,13,4,6,7,6,2,8,15,11,10,3,5,6,6,11,12,17,10,6,4,7,7,2,4,8,4,6,5,7,9,8,8,8,8,3,7,10,6,15,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,6,0,8,4,1,3,7,9,11,8,7,3,11,2,7,5,12,5,5,8,9,4,7,3,2,5,6,5,6,3,7,5,5,4,8,6,6,5,3,0,11,4,2,1,5,4,6,7,10,6,4,3,6,11,10,3,12,5,8,5,6,3,2,1,1,1,1,1,3,2,8,5,3,3,1,0,7,2,1542.0000000000011,1011.3219867339673,610500.0,113.29622935269734,0.3333333333333331,8.465382272953105,15528.565291101424,15533.602944207543,495.562629101352,634.3230156106058,1011.3219867339673,1495.225752457796,610386.7037706473,241292820.4282933,860.9027368471902,430.4513684235951,10.070405506550852,0.1025229317682304,0.25680729912395545,0.6371821567083689,0.7463060225864117,0.7651414893794717,0.7684039925524853,0.7690120095650598
3,4,9,5,7,7,6,8,6,3,7,4,1,3,7,2,4,4,7,4,3,3,4,8,3,9,12,6,5,8,10,7,13,6,7,4,6,6,13,4,5,10,11,8,4,11,11,7,3,9,4,1,5,8,9,2,7,7,12,3,2,2,2,4,3,5,6,2,3,5,7,5,4,10,5,6,0,2,7,0,10,7,5,5,2,2,5,5,3,6,6,6,2,1,4,6,5,5,5,8,11,10,5,3,13,9,11,9,5,4,8,2,7,5,6,1,5,3,8,3,8,7,13,4,6,6,7,2,8,15,12,10,3,6,6,4,11,12,17,11,6,4,8,6,2,4,8,4,6,5,7,8,8,8,8,8,3,7,10,6,16,5,12,7,8,7,6,6,15,8,15,12,10,3,8,7,15,6,6,0,8,4,1,3,8,8,10,8,7,3,10,3,7,5,11,5,5,8,9,4,9,3,2,5,6,5,6,3,7,5,5,4,7,6,6,6,3,0,11,4,2,1,5,4,5,7,10,5,4,3,6,11,10,3,12,4,8,5,5,3,2,1,1,1,2,1,3,1,7,6,3,3,1,1,6,1,1534.999999999999,980.022463499422,605669.0,72.41493359174515,0.33333333333333354,8.437776524323473,15440.792013365117,15445.824046092273,491.4130392170541,634.4093919509902,980.022463499422,1504.0759164407862,605596.5850664083,238573480.46284223,869.6665244897957,434.83326224489787,10.059147891443077,0.10782689178512428,0.27179737793012804,0.6369545597149288,0.7462873900564794,0.7651304573481772,0.768403448003654,0.7690121482709916
